0,HARVARD UNIVERSITY,"Ivy League,School,Crimson,Cambridge,Yale,"
1,FLY SWATTER,"Kill,Slap,Bug,Buzz,Tool,"
2,CANADA,"North,Cold,Snow,Goose,Mountie,"
3,ADDICTION,"Drug,Alcohol,Rehab,Habit,Withdrawal,"
4,INCISION,"Cut,Operate,Surgery,Scalpel,Stitch,"
5,POLO,"Horse,Water,Shirt,Club,Sport,"
6,SCREAM,"Yell,Shout,Scare,Fear,Surprise,"
7,CURFEW,"Late,Teenager,Home,Ground,Time,"
8,SPREADSHEET,"Excel,Numbers,Math,Equations,Table,"
9,SPIRITUAL,"Belief,Religion,Faith,God,Holy,"
10,BLISTER,"Pop,Skin,Heel,Handle,Foot,"
11,MOTHERBOARD,"Computer,Processor,Boot,Circuit,Chip,"
12,NORTH CAROLINA,"Atlantic,Tar Heel,South,Virginia,Tennessee,"
13,BAR STOOL,"Drink,Sit,Chair,Fight,Kitchen,"
14,THERAPIST,"Analyze,Doctor,Couch,Shrink,Psychiatrist,"
15,WHIRLPOOL,"Water,Spin,River,Swirl,Appliance,"
16,CALCULUS,"Math,Function,Derivative,Integral,Limit,"
17,ILLITERATE,"Read,Write,Word,School,Educate,"
18,BEATBOX,"Rhythm,Drum,Mouth,Sound,Music,"
19,SQUIRREL,"Tree,Rocky,Bushy,Road,Fly,"
20,ANTEATER,"Animal,Insects,Tongue,Termites,Hill,"
21,BIGFOOT,"Sasquatch,Yeti,Hairy,Monster,Legend,"
22,CONCH,"Shell,Whelk,Ocean,Beach,Snail,"
23,PAPER BOY,"News,Deliver,Bicycle,Nintendo,Throw,"
24,PILLAGE,"Burn,City,Pirate,Soldier,Plunder,"
25,SIT-UP,"Crunch,Abdominal,Fitness,Workout,Exercise,"
26,PHOTOGRAPH,"Picture,Camera,Cheese,Art,Snap,"
27,WITCHCRAFT,"Burn,Magic,Potter,Practice,Wizard,"
28,TUMOR,"Cancer,Malignant,Benign,Doctor,Lump,"
29,GARBAGE,"Day,Trash,Collect,Truck,Can,"
30,ZOO,"Animal,Panda,Monkey,Visit,Cage,"
31,LUGE,"Olympics,Slide,Back,Board,Downhill,"
32,CUCUMBER,"Vegetable,Green,Crunch,Grow,Pickle,"
33,ENTREPRENEUR,"Business,Company,Hire,Start,Sell,"
34,BIRTHDAY CAKE,"Candle,Chocolate,Vanilla,Frosting,Party,"
35,COLOGNE,"Smell,Date,Man,French,Dab,"
36,DEMOCRACY,"Government,Elect,Vote,America,Republic,"
37,FUNGUS,"Mushroom,Spore,Mildew,Mold,Green,"
38,HAIRBRUSH,"Comb,Salon,Straight,Tangle,Morning,"
39,VISOR,"Golf,Hat,Head,Sun,Eyes,"
40,WALL STREET,"Stock Market,Broker,Bond,Greed,New York,"
41,ODYSSEUS,"Troy,Home,Ulysses,Homer,Epic,"
42,MOTEL,"Inn,Hotel,Cheap,Sleep,Stay,"
43,RAINBOW,"Color,Gold,Light,Reading,Waterfall,"
44,ELVIS PRESLEY,"Graceland,Hound Dog,Sing,Rock N' Roll,King,"
45,CANVAS,"Blank,Paint,Draw,Door,Poll,"
46,WRITE,"Paper,Pencil,Pen,Letter,Hand,"
47,WILDFIRE,"Hot,Forest,Brush,Fight,Spread,"
48,EMERALD,"Green,Oz,Stone,Gem,Diamond,"
49,BOXER,"Sport,Dog,Punch,Ring,Gloves,"
50,BEEF JERKY,"Slim Jim,Dry,Meat,Chew,Salt,"
51,KIDDIE POOL,"Swim,Small,Kid,Shallow,Baby,"
52,TOOTHPASTE,"Brush,Teeth,Mouth,Bed,Clean,"
53,PUREE,"Blend,Liquid,Smooth,Sauce,Tomato,"
54,KING CRAB,"Seafood,Claw,Sideways,Pincer,Leg,"
55,WELCOME,"Greet,Mat,Hello,Home,Party,"
56,CRAWL,"Baby,Space,Bug,Knees,Floor,"
57,CROP CIRCLE,"Corn,Ufo,Pattern,Alien,Hoax,"
58,PASSWORD,"Hack,Steal,Lock,Secret,Login,"
59,WEBCAM,"Skype,Chat,Video,Talk,Computer,"
60,WHEELCHAIR,"Disable,Handicap,Roll,Electric,Ramp,"
61,YANKEE,"Northern,New York,American,Baseball,British,"
62,ZEUS,"Jupiter,Greek,King,God,Olympus,"
63,BEETHOVEN,"Composer,Deaf,Piano,Symphony,Roll Over,"
64,BIKINI,"Yellow,Beach,Wear,Two Piece,Wax,"
65,BUFFET,"Eat,Meal,All,Salad,Chinese,"
66,COAST,"Ocean,Beach,Sand,Sail,Wave,"
67,PLATEAU,"Flat,Land,Mountain,West,Desert,"
68,RANCID,"Sour,Milk,Bad,Rotten,Trash,"
69,SIGNAL,"Smoke,Morse Code,Sign,Light,Turn,"
70,SLOW MOTION,"Move,Movie,Frame,Action,Film,"
71,SLEET,"Rain,Sky,Ice,Cloud,Freeze,"
72,DANCE,"Disco,Ballroom,Waltz,Floor,Revolution,"
73,ENGINEER,"Train,Civil,Bridge,Electric,Computer,"
74,CEO,"Business,Company,Lead,Head,Run,"
75,CHEAT,"Rules,System,Affair,Game,Break,"
76,JULIUS CAESAR,"Brutus,Rome,Salad,Calendar,Emperor,"
77,APOCALYPSE,"End,World,Plague,Rapture,Nuclear,"
78,SURGEON,"Doctor,Stitch,Hospital,Operate,Brain,"
79,SAMURAI,"Japan,Warrior,Ninja,Sword,Katana,"
80,WATERMELON,"Seed,Red,Green,Summer,Juice,"
81,BLIND,"Vision,See,Glasses,Cane,Dog,"
82,REAL ESTATE,"House,Land,Realty,Mortgage,Bubble,"
83,EXORCISM,"Demon,Priest,Holy,Christ,Cleanse,"
84,PEANUT,"Butter,Jelly,Shell,Salt,Charlie Brown,"
85,PARDON,"Forgive,Convict,Amnesty,French,President,"
86,EASTER EGG,"Color,Paint,Dye,Vinegar,Hunt,"
87,EMBARRASSED,"Shy,Blush,Red,Foolish,Feel,"
88,POISON IVY,"Itch,Rash,Plant,Skin,Touch,"
89,BEG,"Ask,Knee,Plead,Mercy,Dog,"
90,BUDDHA,"Fat,India,Meditate,Religion,Statue,"
91,BRUISE,"Black,Blue,Blood,Skin,Hurt,"
92,THORN,"Rose,Prick,Bush,Side,Stem,"
93,PHARMACIST,"Pill,Prescription,Pharmacy,Counter,Medicine,"
94,VOCAL CHORDS,"Talk,Sing,Throat,Lose,Vibrate,"
95,CAMEL,"Hump,Ride,Spit,Desert,Water,"
96,GREEN TEA,"Caffeine,Hot,Bag,Drink,Coffee,"
97,SUPERCOMPUTER,"Keyboard,Internet,Research,Powerful,Science,"
98,TRAGEDY,"Greek,Romeo And Juliet,Sad,Horrible,Ending,"
99,DRAW,"Art,Straws,Tie,Pencil,Pen,"
100,SERIAL KILLER,"Murder,Hannibal,Crazy,Kill,Catch,"
101,AL CAPONE,"Mob,Mafia,Prohibition,Alcohol,Bootleg,"
102,EAST,"Sunrise,Asia,Russia,West,New York,"
103,HILLARY CLINTON,"First Lady,President,Secretary Of State,Bill,Election,"
104,WRESTLING,"Greek,Arm,Fight,Boxing,Grab,"
105,FRENCH KISS,"Lips,Make Out,Tongue,Party,Mouth,"
106,PIPE ORGAN,"Church,Music,Hymn,Play,Piano,"
107,WAITER,"Tip,Table,Serve,Food,Male,"
108,STEWARDESS,"Plane,Serve,Order,Air,Food,"
109,POKER,"Card,Face,Gamble,Bluff,Hold,"
110,FERRIS WHEEL,"Fair,Ride,Circus,Around,High,"
111,SMOOTH,"Rough,Slick,Suave,Texture,Creamy,"
112,CELLO,"String,Bass,Yo-Yo Ma,Bow,Orchestra,"
113,WHISKEY,"Bourbon,Shot,Bar,Jack Daniels,Scotch,"
114,GOLDFISH,"Guppy,Bowl,Crackers,Cheese,Aquarium,"
115,BARTENDER,"Serve,Drink,Alcohol,Beer,Order,"
116,JAYWALK,"Cross,Road,Street,Illegal,Cars,"
117,EARRING,"Pierce,Jewelry,Lobe,Hoop,Girl,"
118,WRIGHT BROTHERS,"Air Plane,Flight,Inventors,Kitty Hawk,Bicycle,"
119,DEMON,"Evil,Possess,Halloween,Hell,Horn,"
120,MOOSE,"North,Chocolate,Deer,Hunt,Antler,"
121,DIAPER,"Wear,Stink,Wet,Change,Baby,"
122,UNICORN,"Fantasy,Horn,Horse,Rainbow,One,"
123,HANGMAN,"Execute,Rope,Hood,Death,Punish,"
124,DRUMSTICK,"Wood,Chicken,Hit,Band,Snare,"
